Method,Distribution,Cov,Avg Width,Avg Miscov,Avg Regret,D
SplitConformal,sudden,0.843,129.5,0.122,0.0077,0.1
NExConformal,sudden,0.894,123.7,0.051,0.0031,0.1
FACI,sudden,0.891,123.4,0.046,0.0030,0.1
ScaleFreeOGD,sudden,0.891,137.4,0.082,0.0055,0.1
SimpleOGD,sudden,0.899,125.0,0.041,0.0031,0.1
FACI_S,sudden,0.896,124.9,0.044,0.0030,0.1
SAOCP,sudden,0.857,112.9,0.058,0.0042,0.1
MagnitudeLearner,sudden,0.901,143.2,0.034,0.0191,0.1
MagLearnUndiscounted,sudden,0.894,122.0,0.044,0.0034,0.1
SplitConformal,gradual,0.826,153.1,0.102,0.0045,0.1
NExConformal,gradual,0.895,159.7,0.041,0.0012,0.1
FACI,gradual,0.896,160.3,0.042,0.0012,0.1
ScaleFreeOGD,gradual,0.892,163.4,0.055,0.0022,0.1
SimpleOGD,gradual,0.900,161.8,0.026,0.0018,0.1
FACI_S,gradual,0.898,160.6,0.038,0.0013,0.1
SAOCP,gradual,0.872,154.6,0.046,0.0017,0.1
MagnitudeLearner,gradual,0.894,166.0,0.036,0.0209,0.1
MagLearnUndiscounted,gradual,0.897,160.8,0.034,0.0022,0.1
